Comment,Designator,Footprint,LCSC
A500K,RV4,16MM_B.MOUNT_BANZAI,
B1K,RV3,16MM_B.MOUNT_BANZAI,
10n,C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,
47u,C4,CP_Radial_D5.0mm_P2.50mm,
100K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
470,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100K,RV2,Trim_Multi_turns,
22u,C3,CP_Radial_D5.0mm_P2.50mm,
2.2u,C1,CP_Radial_D5.0mm_P2.50mm,
100K,RV1,Trim_Multi_turns,
Rled,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
+9v,J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,
Conn_01x06_Female,J2,PinHeader_1x06_P2.54mm_Vertical,
Q_NPN_EBC,Q1,TO-92L_Inline_Wide,
Conn_01x02_Female,J4,PinHeader_1x02_P2.54mm_Vertical,
Q_NPN_EBC,Q2,TO-92L_Inline_Wide,
Conn_01x02_Female,J5,PinHeader_1x02_P2.54mm_Vertical,
LED,D1,LED_D5.0mm,
